"recid","formguid","FormName","versionguid","versionnbr","siteGUID","siteid","chowguid","chowlotnumber","chowratbatch","chowdatereceived"
11,"DB6A9FC2-2AA8-4F9B-AA6C-CAF0C8493CE0","Animal Chow Log","D10CAB0D-734C-4300-9B0F-F998BDD18DAA",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"3A4C3825-2F9A-4D9F-8BF3-5E0F0786DA0A",30182,1311,"07MAY2018:00:00:00.000"
12,"DB6A9FC2-2AA8-4F9B-AA6C-CAF0C8493CE0","Animal Chow Log","D10CAB0D-734C-4300-9B0F-F998BDD18DAA",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"5F8C67B3-1A3B-44EE-82AC-0FA1B82101B8",13182,1326,"21JUN2018:00:00:00.000"
13,"DB6A9FC2-2AA8-4F9B-AA6C-CAF0C8493CE0","Animal Chow Log","D10CAB0D-734C-4300-9B0F-F998BDD18DAA",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"06ABC35D-FD26-4D1C-824F-86F9B5B3D272",13182,1337,"21JUN2018:00:00:00.000"
14,"DB6A9FC2-2AA8-4F9B-AA6C-CAF0C8493CE0","Animal Chow Log","D10CAB0D-734C-4300-9B0F-F998BDD18DAA",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"3A449E50-31C6-49EA-9CC9-F8CF3CBEC25C",13182,1331,"21JUN2018:00:00:00.000"
15,"DB6A9FC2-2AA8-4F9B-AA6C-CAF0C8493CE0","Animal Chow Log","D10CAB0D-734C-4300-9B0F-F998BDD18DAA",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"590856C3-62F0-4C02-8B62-33DB996FF402",13182,1339,"21JUN2018:00:00:00.000"
16,"DB6A9FC2-2AA8-4F9B-AA6C-CAF0C8493CE0","Animal Chow Log","D10CAB0D-734C-4300-9B0F-F998BDD18DAA",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"5E00B60C-24F0-41C9-9416-FA2CF3E1597F",13182,1341,"21JUN2018:00:00:00.000"
17,"DB6A9FC2-2AA8-4F9B-AA6C-CAF0C8493CE0","Animal Chow Log","D10CAB0D-734C-4300-9B0F-F998BDD18DAA",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"245EB813-A0AE-4271-A98E-AADF0A4177F9",13182,1333,"21JUN2018:00:00:00.000"
18,"DB6A9FC2-2AA8-4F9B-AA6C-CAF0C8493CE0","Animal Chow Log","D10CAB0D-734C-4300-9B0F-F998BDD18DAA",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"353FFC58-BDA5-4B8F-A5A9-B93CEE59169D",13182,1335,"21JUN2018:00:00:00.000"
19,"DB6A9FC2-2AA8-4F9B-AA6C-CAF0C8493CE0","Animal Chow Log","D10CAB0D-734C-4300-9B0F-F998BDD18DAA",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"48E9E2A6-6C93-40FB-A786-FE09CE136C55",13182,1328,"21JUN2018:00:00:00.000"
20,"DB6A9FC2-2AA8-4F9B-AA6C-CAF0C8493CE0","Animal Chow Log","D10CAB0D-734C-4300-9B0F-F998BDD18DAA",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"0516FF10-323B-4A55-8F3E-E877F809DE9D",13182,1343,"21JUN2018:00:00:00.000"
29,"DB6A9FC2-2AA8-4F9B-AA6C-CAF0C8493CE0","Animal Chow Log","D10CAB0D-734C-4300-9B0F-F998BDD18DAA",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"F8970C6A-5D49-4A7A-9418-97D8887DB490",23192,0162,"31MAY2019:00:00:00.000"
30,"DB6A9FC2-2AA8-4F9B-AA6C-CAF0C8493CE0","Animal Chow Log","D10CAB0D-734C-4300-9B0F-F998BDD18DAA",1,"E5009BAC-7EE0-40C4-859B-DF348D34EB12",940,"B9EBE586-E178-46FE-B935-EB02266C827B",05191,2800,"14FEB2019:00:00:00.000"

